FORMNO,CTRLID,DATATYPE,GROUPNO,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,VAL49,VAL50,VAL51,VAL52,VAL53,VAL54,VAL55,VAL56,VAL57,VAL58,VAL59,VAL60,VAL61,VAL62,VAL63,VAL64,VAL65,VAL66,VAL67,VAL68,VAL69,VAL70,VAL71,VAL72,VAL73,VAL74,VAL75,VAL76,VAL77,VAL78,VAL79,VAL80,VAL81,VAL82,VAL83,VAL84,VAL85,VAL86,VAL87,VAL88,VAL89,VAL90,VAL91,VAL92,VAL93,VAL94,VAL95,VAL96,VAL97,VAL98,VAL99,VAL100,VAL101,VAL102,VAL103,VAL104,VAL105,VAL106,VAL107,VAL108,VAL109,VAL110,VAL111,VAL112,VAL113,VAL114,VAL115,VAL116,VAL117,VAL118,VAL119,VAL120,VAL121,VAL122,VAL123,VAL124,VAL125,VAL126,VAL127,VAL128,VAL129,VAL130,VAL131,VAL132,VAL133,VAL134,VAL135,VAL136,VAL137,VAL138,VAL139,VAL140,VAL141,VAL142,VAL143,VAL144,VAL145,VAL146,VAL147,VAL148,VAL149,VAL150,VAL151,VAL152,VAL153,VAL154,VAL155,VAL156,VAL157,VAL158,VAL159,VAL160,VAL161,VAL162,VAL163,VAL164,VAL165,VAL166,VAL167,VAL168,VAL169,VAL170,VAL171,VAL172,VAL173,VAL174,VAL175,VAL176,VAL177,VAL178,VAL179,VAL180,VAL181,VAL182,VAL183,VAL184,VAL185,VAL186,VAL187,VAL188,VAL189,VAL190,VAL191,VAL192,VAL193,VAL194,VAL195,VAL196,VAL197,VAL198,VAL199,VAL200
0,LongPlanList,0,0,計装ＣＶ定期整備,,1,1,1,2,1,2,1,2,1,1,01T-301,301SA回収塔,長計グループA,2021/1/1,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,2001/1/10,12000,0,○,,○,,○,,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,000P-114ＷＣフィードポンプ定期整備,,1,1,2,1,2,1,1,1,2,2,01T-304,304分離塔,長計グループA,2021/1/2,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,1,2001/1/10,120000,0,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,000132A脱水塔頂循環ﾎﾟﾝﾌﾟ1定期整備,,1,1,2,2,1,2,1,2,2,2,01T-305,305SA製品塔,長計グループA,2021/1/3,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,2001/1/10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,0001521A脱水液抜出しﾎﾟﾝﾌﾟ定期整備,0001521A脱水液抜出しﾎﾟﾝﾌﾟ定期整備,1,2,2,,2,1,2,2,2,01E-903,903ﾎﾞｲﾗｰ,長計グループA,2021/1/4,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,2001/1/10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,0002C-446リサイクルファンB定期整備,000132A脱水塔頂循環ﾎﾟﾝﾌﾟ1定期整備,1,1,2,1,,1,1,1,1,1,01E-904,904ﾎﾞｲﾗｰ,長計グループA,2021/1/5,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,291反応ﾄﾞﾗﾑ開放検査,291反応ﾄﾞﾗﾑ開放検査,1,2,1,2,1,2,1,2,2,,01E-905,905ﾎﾞｲﾗｰ,長計グループA,2021/1/6,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,292反応ﾄﾞﾗﾑ開放検査,292反応ﾄﾞﾗﾑ開放検査,1,2,2,2,2,2,2,2,2,,01E-906,906ﾎﾞｲﾗｰ,長計グループA,2021/1/7,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,000冷塔ＢＴＭ抜出しポンプＢ定期整備,,1,2,2,2,2,2,2,2,2,,01E-907,907ﾎﾞｲﾗｰ,長計グループA,2021/1/8,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,408廃熱回収ボイラー開放検査,,1,2,2,2,2,2,2,2,1,1,01E-908,908ﾎﾞｲﾗｰ,長計グループA,2021/1/9,DEMOユーザ,長計A,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LongPlanList,0,0,295反応ﾄﾞﾗﾑ開放検査,,1,1,2,1,1,2,2,2,2,2,01E-909,909ﾎﾞｲﾗｰ,長計グループA,2021/1/10,DEMOユーザ,長計B,作業項目AA,目的１,作業AA,予算管理A,予算性格C,処置区分A,設備区分A,0,00-00-10,11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
