FORMNO,CTRLID,DATATYPE,GROUPNO,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,VAL49,VAL50,VAL51,VAL52,VAL53,VAL54,VAL55,VAL56,VAL57,VAL58,VAL59,VAL60,VAL61,VAL62,VAL63,VAL64,VAL65,VAL66,VAL67,VAL68,VAL69,VAL70,VAL71,VAL72,VAL73,VAL74,VAL75,VAL76,VAL77,VAL78,VAL79,VAL80,VAL81,VAL82,VAL83,VAL84,VAL85,VAL86,VAL87,VAL88,VAL89,VAL90,VAL91,VAL92,VAL93,VAL94,VAL95,VAL96,VAL97,VAL98,VAL99,VAL100,VAL101,VAL102,VAL103,VAL104,VAL105,VAL106,VAL107,VAL108,VAL109,VAL110,VAL111,VAL112,VAL113,VAL114,VAL115,VAL116,VAL117,VAL118,VAL119,VAL120,VAL121,VAL122,VAL123,VAL124,VAL125,VAL126,VAL127,VAL128,VAL129,VAL130,VAL131,VAL132,VAL133,VAL134,VAL135,VAL136,VAL137,VAL138,VAL139,VAL140,VAL141,VAL142,VAL143,VAL144,VAL145,VAL146,VAL147,VAL148,VAL149,VAL150,VAL151,VAL152,VAL153,VAL154,VAL155,VAL156,VAL157,VAL158,VAL159,VAL160,VAL161,VAL162,VAL163,VAL164,VAL165,VAL166,VAL167,VAL168,VAL169,VAL170,VAL171,VAL172,VAL173,VAL174,VAL175,VAL176,VAL177,VAL178,VAL179,VAL180,VAL181,VAL182,VAL183,VAL184,VAL185,VAL186,VAL187,VAL188,VAL189,VAL190,VAL191,VAL192,VAL193,VAL194,VAL195,VAL196,VAL197,VAL198,VAL199,VAL200
0,SearchList,0,0,7L-1-3,301SA回収塔,機器,品川工場,AXBY0001,ボルト,旭化成エンジニアリング,CL-125,5mm,85本,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SearchList,0,0,7L-1-3,301SA回収塔,機器,品川工場,CXDY0102,ベアリング,石丸バルブ,CL-125,キー付,2個,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SearchList,0,0,7L-1-3,301SA回収塔,機器,品川工場,TYDC0102,ガスケットA,上大岡電気,CL-120,20mm,120枚,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SearchList,0,0,7L-1-5,301SA回収塔,機器,品川工場,TYDC0103,ガスケットB,上大岡電気,CL-130,30mm,120枚,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SearchList,0,0,7L-1-5,301SA回収塔,機器,品川工場,TYDC0104,ガスケットC,上大岡電気,CL-140,40mm,120枚,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SearchList,0,0,7L-1-5,301SA回収塔,機器,品川工場,TYDC0105,ガスケットD,上大岡電気,CL-50,50mm,120枚,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Base_Info,0,0,7L-1-3,AXBY0001,ボルト,旭化成エンジニアリング,A1SJ61BT11,5mm,85,CL-50,50mm,120枚,設置場所A,1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,1,7L-1-1,2020/04/10,20200410-01,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,1,7L-1-1,2020/04/11,20200411-01,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detail_Inventory_Info,0,1,7L-1-1,2020/04/12,20200412-01,新品,120円,10本,,,,,30本,"10,650円",1,2021/1,法規A,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機械,静止機器,塔　類,その他塔類,徳機,ﾀｰﾎﾞ,AA,12000,2021/1,2021/1,現在使用,0,120,#1～#44-M/W4ｹ､#45～#54-M/W2ｹ､上部はID2350*5150 板厚11、13、14、15、16、17、18、ｺﾆｶﾙ16t,機番画像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
