FORMNO,CTRLID,DATATYPE,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,VAL49,VAL50,VAL51,VAL52,VAL53,VAL54,VAL55,VAL56,VAL57,VAL58,VAL59,VAL60,VAL61,VAL62,VAL63,VAL64,VAL65,VAL66,VAL67,VAL68,VAL69,VAL70,VAL71,VAL72,VAL73,VAL74,VAL75,VAL76,VAL77,VAL78,VAL79,VAL80,VAL81,VAL82,VAL83,VAL84,VAL85,VAL86,VAL87,VAL88,VAL89,VAL90,VAL91,VAL92,VAL93,VAL94,VAL95,VAL96,VAL97,VAL98,VAL99,VAL100,VAL101,VAL102,VAL103,VAL104,VAL105,VAL106,VAL107,VAL108,VAL109,VAL110,VAL111,VAL112,VAL113,VAL114,VAL115,VAL116,VAL117,VAL118,VAL119,VAL120,VAL121,VAL122,VAL123,VAL124,VAL125,VAL126,VAL127,VAL128,VAL129,VAL130,VAL131,VAL132,VAL133,VAL134,VAL135,VAL136,VAL137,VAL138,VAL139,VAL140,VAL141,VAL142,VAL143,VAL144,VAL145,VAL146,VAL147,VAL148,VAL149,VAL150,VAL151,VAL152,VAL153,VAL154,VAL155,VAL156,VAL157,VAL158,VAL159,VAL160,VAL161,VAL162,VAL163,VAL164,VAL165,VAL166,VAL167,VAL168,VAL169,VAL170,VAL171,VAL172,VAL173,VAL174,VAL175,VAL176,VAL177,VAL178,VAL179,VAL180,VAL181,VAL182,VAL183,VAL184,VAL185,VAL186,VAL187,VAL188,VAL189,VAL190,VAL191,VAL192,VAL193,VAL194,VAL195,VAL196,VAL197,VAL198,VAL199,VAL200
0,BODY_020_00_LST_0,0,2021/1/1,2021/3/1,抜出ﾎﾟﾝﾌﾟ分解点検5Y,1,01D-9113,A314反応ｼｰﾗﾝﾄﾎﾟﾝﾌﾟ,東京,品川工場,SAプラント,1系,工程A,A1設備,機械,回転機器,回転ポンプ,渦巻ポンプ,1,10,費用メモ,,,1,2022/01/01,1,1,1,100000,100000,1,1,2,1,2,1,2,1,2,1,DEMOユーザ,20,10,1,1,1,100000,2,作業計画,件名メモ,,1,振動によると思われる溶接線割れ。削り込み溶接線復旧。補強の為、ﾘﾌﾞを取りつけた,1,1,実施内容,5,5,80000,1,事象補足,1,原因補足,1,性格補足,1,1,故障原因補足,実施状況,復旧措置,改善対策,フィードバック,教訓,メモ,1,2022/02/01,内容,00001012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_010_00_LST_1,0,21092101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_020_00_LST_1,0,ポンプ点検,弁および電源供給の遮断を三者で確認してから作業をお願いします。,ポンプ点検,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_030_00_LST_1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_040_00_LST_1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_050_00_LST_1,0,1,1,1,1,1,5,5,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_060_00_LST_1,0,1,1,1,1,01D-9113,A314反応ｼｰﾗﾝﾄﾎﾟﾝﾌﾟ,1,1,1,,,,,,,,,,,,,,,,,,,2022/01/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_070_00_LST_1,0,1,ポンプ修理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_080_00_LST_1,0,1,2022/01/01,微調整を行う,2022/01/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BODY_090_00_LST_1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
