FORMNO,CTRLID,DATATYPE,GROUPNO,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,VAL49,VAL50,VAL51,VAL52,VAL53,VAL54,VAL55,VAL56,VAL57,VAL58,VAL59,VAL60,VAL61,VAL62,VAL63,VAL64,VAL65,VAL66,VAL67,VAL68,VAL69,VAL70,VAL71,VAL72,VAL73,VAL74,VAL75,VAL76,VAL77,VAL78,VAL79,VAL80,VAL81,VAL82,VAL83,VAL84,VAL85,VAL86,VAL87,VAL88,VAL89,VAL90,VAL91,VAL92,VAL93,VAL94,VAL95,VAL96,VAL97,VAL98,VAL99,VAL100,VAL101,VAL102,VAL103,VAL104,VAL105,VAL106,VAL107,VAL108,VAL109,VAL110,VAL111,VAL112,VAL113,VAL114,VAL115,VAL116,VAL117,VAL118,VAL119,VAL120,VAL121,VAL122,VAL123,VAL124,VAL125,VAL126,VAL127,VAL128,VAL129,VAL130,VAL131,VAL132,VAL133,VAL134,VAL135,VAL136,VAL137,VAL138,VAL139,VAL140,VAL141,VAL142,VAL143,VAL144,VAL145,VAL146,VAL147,VAL148,VAL149,VAL150,VAL151,VAL152,VAL153,VAL154,VAL155,VAL156,VAL157,VAL158,VAL159,VAL160,VAL161,VAL162,VAL163,VAL164,VAL165,VAL166,VAL167,VAL168,VAL169,VAL170,VAL171,VAL172,VAL173,VAL174,VAL175,VAL176,VAL177,VAL178,VAL179,VAL180,VAL181,VAL182,VAL183,VAL184,VAL185,VAL186,VAL187,VAL188,VAL189,VAL190,VAL191,VAL192,VAL193,VAL194,VAL195,VAL196,VAL197,VAL198,VAL199,VAL200
0,BODY_020_00_LST_0,0,0,AXBY0001,ボルト,,,,旭化成エンジニアリング,CL-125,鉄,5mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,85本,30本,旭化成エンジニアリング,100円,85本,購買システムコードA,使用区分A,bolt.png|bolt.png,aaa1.pdf,aaa2.pdf,bolt.png,bolt.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,CXDY0102,ベアリング,,,,旭化成エンジニアリング,CL-125,木材,キー付,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,2個,30個,旭化成エンジニアリング,150円,2個,購買システムコードA,使用区分A,ball_bearing.png|ball_bearing.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0102,ガスケットA,,,,旭化成エンジニアリング,CL-120,鉄,20mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,500円,120枚,購買システムコードA,使用区分A,bolt.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0103,ガスケットB,,,,旭化成エンジニアリング,CL-130,木材,30mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,110円,120枚,購買システムコードB,使用区分B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0104,ガスケットC,,,,旭化成エンジニアリング,CL-140,鉄,40mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,120円,120枚,購買システムコードB,使用区分B,ball_bearing_shield.png|ball_bearing_shield.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0105,ガスケットD,,,,旭化成エンジニアリング,CL-50,木材,50mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,100円,120枚,購買システムコードB,使用区分B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0106,ガスケットE,,,,旭化成エンジニアリング,CL-50,木材,50mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,100円,120枚,購買システムコードB,使用区分B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0107,ガスケットF,,,,旭化成エンジニアリング,CL-50,木材,50mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,100円,120枚,購買システムコードB,使用区分B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0108,ガスケットG,,,,旭化成エンジニアリング,CL-50,木材,50mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,100円,120枚,購買システムコードB,使用区分B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BODY_020_00_LST_0,0,0,TYDC0109,ガスケットH,,,,旭化成エンジニアリング,CL-50,木材,50mm,品川工場,機械,旭化成エンジニアリング,東京,品川工場,倉庫A,120枚,30枚,旭化成エンジニアリング,100円,120枚,購買システムコードB,使用区分B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
