カラム名,カラム名翻訳,属性,入力必須,桁数,ビットサイズ,コンボボックスアイテム,主キー,翻訳項目種類,編集不可
location_structure_id,場所階層ID(工場),N,1,0,0,,1,0,1
program_id,プログラムID,C,1,50,0,,2,0,1
form_no,画面NO,N,1,0,0,,3,0,1
control_group_id,コントロールグループID,C,1,50,0,,4,0,1
define_type,定義種類,N,1,0,0,,5,0,0
control_no,コントロール番号,N,1,0,0,,6,0,0
control_type,コントロールタイプ,C,1,4,0,,0,0,1
control_id,コントロールID,C,1,100,0,,0,1,0
display_division,表示区分,N,1,0,0,,0,0,0
row_no,行番号,N,1,0,0,,0,0,0
column_no,列番号,N,1,0,0,,0,0,0
row_span,行結合数,N,1,0,0,,0,0,0
column_span,列結合数,N,1,0,0,,0,0,0
header_row_span,ヘッダ行結合数,N,0,0,0,,0,0,0
header_column_span,ヘッダ列結合数,N,0,0,0,,0,0,0
position,表示位置,C,1,10,0,,0,0,0
column_width,列幅,C,1,10,0,,0,0,0
from_to_division,FromTo区分,N,1,0,0,,0,0,0
control_count,値の個数,N,1,0,0,,0,0,0
initial_value,初期値,C,0,200,0,,0,0,0
required_division,必須項目区分,N,1,0,0,0|1,0,0,0
text_auto_complete_division,オートコンプリート区分,N,1,0,0,0|1|2|3,0,0,0
button_control_id,ボタンコントロールID,C,1,50,0,,0,0,0
button_action_division,ボタンアクション区分,N,1,0,0,,0,0,0
button_authority_division,ボタン権限管理区分,N,1,0,0,0|1|2,0,0,0
button_after_execution_division,ボタン実行後区分,N,1,0,0,0|1,0,0,0
button_message,ボタン押下時の確認メッセージ,C,0,50,0,,0,1,0
dat_transition_pattern,画面遷移パターン,N,1,0,0,0|1|2|3|4|5|6,0,0,0
dat_transition_action_division,画面遷移アクション区分,N,1,0,0,0|1|2|3,0,0,0
relation_id,関連情報ID,C,1,50,0,,0,0,0
relation_parameters,関連情報パラメータ,C,0,255,0,,0,0,0
option_information,付加情報,C,0,50,0,,0,0,0
unchangeable_division,変更不可項目区分,N,1,0,0,0|1,0,0,0
column_fixed_division,列固定区分,N,1,0,0,0|1,0,0,0
filter_use_division,フィルター使用区分,N,1,0,0,0|1,0,0,0
sort_division,ソート区分,N,0,0,0,0|1,0,0,0
detailed_search_division,詳細検索区分,N,0,0,0,0|1|2,0,0,0
detailed_search_control_type,詳細検索コントロール種類,C,0,4,0,0101|0102|0103|0104|0105|0106|0107|0201|0301|0302|0303|0401|0402|0501|0601|0701|0702|0801|0901|0902|0903|1001|1101|1102|1111|1201|1301|1401,0,0,0
control_customize_flg,コントロールカスタマイズフラグ,N,0,0,0,0|1,0,0,0
css_name,CSSクラス名,C,0,50,0,,0,0,0
expansion_key_name,項目キー名,C,0,30,0,,0,0,0
expansion_table_name,テーブル名,C,0,30,0,,0,0,0
expansion_column_name,カラム名,C,0,30,0,,0,0,0
expansion_parameters_name,パラメータ名,C,0,30,0,,0,0,0
expansion_alias_name,別名,C,0,30,0,,0,0,0
expansion_like_pattern,条件パターン,N,1,0,0,0|1|2|3,0,0,0
expansion_in_clause_division,IN句判定区分,N,1,0,0,0|1,0,0,0
expansion_lock_type,排他ロック種類,N,1,0,0,0|1|2,0,0,0
expansion_lock_table_name,排他ロックテーブル名,C,0,50,0,,0,0,0
delete_flg,削除フラグ,N,1,0,0,0|1,0,0,0
