カラム名,カラム名翻訳,属性,入力必須,桁数,ビットサイズ,コンボボックスアイテム,主キー,翻訳項目種類,編集不可
program_id,プログラムID,C,1,50,0,,1,0,1
form_no,画面NO,N,1,0,0,,2,0,0
control_group_id,コントロールグループID,C,1,50,0,,3,0,0
control_group_name,コントロールグループ名,C,1,50,0,,0,0,0
control_group_type,コントロールグループタイプ,N,1,0,0,101|102|103|201|301,0,0,0
area_division,エリア区分,N,1,0,0,1|2|3|4|5,0,0,0
display_order,表示順,N,1,0,0,,0,0,0
dat_form_title,画面タイトル,C,0,30,0,,0,1,0
group_no,グループ番号,N,1,0,0,,0,0,0
group_name,グループ名,C,0,255,0,,0,1,0
tab_no,タブ番号,N,1,0,0,,0,0,0
tab_name,タブ名,C,0,255,0,,0,1,0
dat_transition_pattern,画面遷移パターン,N,1,0,0,0|1|2|3|4,0,0,0
dat_transition_display_pattern,遷移表示パターン,N,1,0,0,0|1|2|3,0,0,0
dat_transition_target,画面遷移先,C,1,50,0,,0,0,0
dat_transition_parameters,遷移パラメータ,C,0,255,0,,0,0,0
dat_rowno_pattern,行番号パターン,N,1,0,0,0|1|2|3,0,0,0
dat_edit_pattern,一覧編集パターン,N,1,0,0,0|1|2,0,0,0
dat_direction,一覧表示方向,N,1,0,0,0|1|2,0,0,0
dat_header_display_division,ヘッダ行表示区分,N,1,0,0,0|1,0,0,0
dat_page_rows,ページ行数,N,0,0,0,,0,0,0
dat_maximum_rows,最大行数,N,0,0,0,,0,0,0
dat_title,一覧情報名,C,0,255,0,,0,1,0
dat_switch_division,一覧表示切替区分,N,1,0,0,0|1,0,0,0
dat_row_add_division,一覧行追加区分,N,1,0,0,0|1|2|3|4,0,0,0
dat_row_delete_division,一覧行削除区分,N,1,0,0,0|1,0,0,0
dat_row_select_division,一覧全選択全解除区分,N,1,0,0,0|1|2|3,0,0,0
dat_column_select_division,ユーザー単位の表示列選択区分,N,1,0,0,0|1,0,0,0
dat_row_sort_division,一覧移動区分,N,1,0,0,0|1,0,0,0
dat_height,一覧高さ,N,1,0,0,,0,0,0
control_relation_control_id,コントロールグループ関連一覧ID,C,1,50,0,,0,0,0
control_position_division,コントロールグループ配置区分,N,1,0,0,0|1|2|3,0,0,0
css_name,CSSクラス名,C,0,50,0,,0,0,0
tooltip,ツールチップ表示文言,C,0,255,0,,0,1,0
reference_mode_flg,参照モードフラグ,N,0,0,0,0|1,0,0,0
common_form_no,共通レイアウト№,N,0,0,0,,0,0,0
delete_flg,削除フラグ,N,1,0,0,0|1,0,0,0
