カラム名,カラム名翻訳,属性,入力必須,桁数,ビットサイズ,コンボボックスアイテム,入力ガイド
CONDUCTID,機能ID,C,1,10,0,,※主キー
CONDUCTGRP,機能グループID,C,1,10,0,,
NAME,機能名,C,1,255,0,,
RYAKU,機能名略称,C,1,255,0,,※多言語対応の為、翻訳IDを設定する。
PTN,処理パターン,N,1,0,0,10|11|20|30,処理パターンを以下の値で設定\n10：入力\n11：バッチ\n20：エクセル帳票\n30：マスタメンテナンス
MENUORDER,メニュー表示順,N,1,0,0,,機能グループ毎のメニュー表示順を設定
MENUDISP,メニュー表示区分,N,1,0,0,0|1,メニュー表示区分を以下の値で設定\n0：非表示\n1：表示
PGMID,プログラムID,C,0,50,0,,※COM_FORM_DEFINEテーブルとのリンクキー\nメニュー表示のみ(機能紐づけなし)の場合はNULLで設定
BOOTPARAM,起動パラメータ,C,0,20,0,,異なる機能IDで同一のプログラムIDを使用する場合等に、\nバックエンドの処理分岐に使用するパラメータを設定
CM_CONDUCTID,機能内使用共通機能ID,C,0,255,0,,機能内で呼び出される共通機能IDを定義する。\n複数の共通機能が呼び出される場合はパイプで区切って設定する。\n例）CM1001
VERSION,バージョン番号,C,0,20,0,,機能のバージョンを設定
CHANGELOG,更新情報,C,0,255,0,,バージョン番号変更時の更新内容コメントを設定
DELFLG,削除フラグ,N,1,0,0,0|1,論理削除フラグ\n0：通常\n1：削除
UPDYMD,更新日,N,1,0,0,,「yyyyMMdd」形式の数値で登録
UPDHMIS,更新時刻,N,1,0,0,,「hhmmss」形式の数値で登録
